vehicle_category,2022,2023,2024,growth_22_24_pct,growth_23_24_pct
2-Wheelers,25257300000,72790300000,93269200000,269.27620925435417,28.134105780577904
4-Wheelers,27865500000,71197500000,130351500000,367.78812510093127,83.08437796270937
