maker,2022,2024,CAGR_4W,CAGR_4W_pct
BMW India,7,1078,11.409673645990857,1140.9673645990856
Volvo Auto India,4,459,9.712142642814275,971.2142642814275
BYD India,33,1466,5.665151342936064,566.5151342936065
Hyundai Motor,110,1390,2.554766326548573,255.4766326548573
Mercedes -Benz AG,26,291,2.3454906504588666,234.54906504588666
Mahindra & Mahindra,4042,23346,1.4033005508784266,140.33005508784265
MG Motor,1647,8829,1.3153089940016467,131.53089940016466
Tata Motors,12708,48181,0.9471495190679495,94.71495190679495
